"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","read","writ","recv","send","1m","5m","15m","memory process"
0.0,0.500,99.500,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,132.0,604.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,16384.0,2095.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310150656.0,0.0,706199552.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310150656.0,0.0,706199552.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1309835264.0,0.0,706199552.0,81723392.0,297500672.0,1849978880.0,0.0,16384.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,1.005,98.492,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,4096.0,2155.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,372.0,184.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,1238.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,66.0,972.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1379.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.995,0.498,98.507,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2089.0,1552.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,18432.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,366.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,380.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,140.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,1.005,98.492,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2089.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,140.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,24576.0,2169.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,366.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.0,1.0,98.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310146560.0,0.0,706203648.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,803.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,283.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,140.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.005,0.503,98.492,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,3981.0,6072.0,0.0,0.010,0.050,java / 1023664128%
0.495,0.495,98.515,0.0,0.0,0.495,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
